DATE,EmpRate
1948-01-01,58061.00
1948-02-01,58196.00
1948-03-01,57671.00
1948-04-01,58291.00
1948-05-01,57854.00
1948-06-01,58743.00
1948-07-01,58968.00
1948-08-01,58456.00
1948-09-01,58513.00
1948-10-01,58387.00
1948-11-01,58417.00
1948-12-01,58740.00
1949-01-01,58175.00
1949-02-01,58208.00
1949-03-01,58043.00
1949-04-01,57747.00
1949-05-01,57552.00
1949-06-01,57172.00
1949-07-01,57190.00
1949-08-01,57397.00
1949-09-01,57584.00
1949-10-01,57269.00
1949-11-01,58009.00
1949-12-01,57845.00
1950-01-01,57635.00
1950-02-01,57751.00
1950-03-01,57728.00
1950-04-01,58583.00
1950-05-01,58649.00
1950-06-01,59052.00
1950-07-01,59001.00
1950-08-01,59797.00
1950-09-01,59575.00
1950-10-01,59803.00
1950-11-01,59697.00
1950-12-01,59429.00
1951-01-01,59636.00
1951-02-01,59661.00
1951-03-01,60401.00
1951-04-01,59889.00
1951-05-01,60188.00
1951-06-01,59620.00
1951-07-01,60156.00
1951-08-01,59994.00
1951-09-01,59713.00
1951-10-01,60010.00
1951-11-01,59836.00
1951-12-01,60497.00
1952-01-01,60460.00
1952-02-01,60462.00
1952-03-01,59908.00
1952-04-01,59909.00
1952-05-01,60195.00
1952-06-01,60219.00
1952-07-01,59971.00
1952-08-01,59790.00
1952-09-01,60521.00
1952-10-01,60132.00
1952-11-01,60748.00
1952-12-01,60954.00
1953-01-01,61600.00
1953-02-01,61884.00
1953-03-01,62010.00
1953-04-01,61444.00
1953-05-01,61019.00
1953-06-01,61456.00
1953-07-01,61397.00
1953-08-01,61151.00
1953-09-01,60906.00
1953-10-01,60893.00
1953-11-01,60738.00
1953-12-01,59977.00
1954-01-01,60024.00
1954-02-01,60663.00
1954-03-01,60186.00
1954-04-01,60185.00
1954-05-01,59908.00
1954-06-01,59792.00
1954-07-01,59643.00
1954-08-01,59853.00
1954-09-01,60282.00
1954-10-01,60270.00
1954-11-01,60357.00
1954-12-01,60116.00
1955-01-01,60753.00
1955-02-01,60727.00
1955-03-01,60964.00
1955-04-01,61515.00
1955-05-01,61634.00
1955-06-01,61781.00
1955-07-01,62513.00
1955-08-01,62797.00
1955-09-01,62950.00
1955-10-01,62991.00
1955-11-01,63257.00
