DATE,newlyBuilt
1968-01-01,1257.00
1968-02-01,1174.00
1968-03-01,1323.00
1968-04-01,1328.00
1968-05-01,1367.00
1968-06-01,1184.00
1968-07-01,1370.00
1968-08-01,1279.00
1968-09-01,1397.00
1968-10-01,1348.00
1968-11-01,1367.00
1968-12-01,1390.00
1969-01-01,1257.00
1969-02-01,1414.00
1969-03-01,1558.00
1969-04-01,1318.00
1969-05-01,1430.00
1969-06-01,1455.00
1969-07-01,1432.00
1969-08-01,1393.00
1969-09-01,1367.00
1969-10-01,1406.00
1969-11-01,1404.00
1969-12-01,1402.00
1970-01-01,1434.00
1970-02-01,1430.00
1970-03-01,1317.00
1970-04-01,1354.00
1970-05-01,1334.00
1970-06-01,1431.00
1970-07-01,1384.00
1970-08-01,1609.00
1970-09-01,1383.00
1970-10-01,1437.00
1970-11-01,1457.00
1970-12-01,1437.00
1971-01-01,1471.00
1971-02-01,1448.00
1971-03-01,1489.00
1971-04-01,1709.00
1971-05-01,1637.00
1971-06-01,1637.00
1971-07-01,1699.00
1971-08-01,1896.00
1971-09-01,1804.00
1971-10-01,1815.00
1971-11-01,1844.00
1971-12-01,1895.00
1972-01-01,1942.00
1972-02-01,2061.00
1972-03-01,1981.00
1972-04-01,1970.00
1972-05-01,1896.00
1972-06-01,1936.00
1972-07-01,1930.00
1972-08-01,2102.00
1972-09-01,2053.00
1972-10-01,1995.00
1972-11-01,1985.00
1972-12-01,2121.00
1973-01-01,2162.00
1973-02-01,2124.00
1973-03-01,2196.00
1973-04-01,2195.00
1973-05-01,2299.00
1973-06-01,2258.00
1973-07-01,2066.00
1973-08-01,2056.00
1973-09-01,2061.00
1973-10-01,2052.00
1973-11-01,1925.00
1973-12-01,1869.00
1974-01-01,1932.00
1974-02-01,1938.00
1974-03-01,1806.00
1974-04-01,1830.00
1974-05-01,1715.00
1974-06-01,1897.00
1974-07-01,1695.00
1974-08-01,1634.00
1974-09-01,1651.00
1974-10-01,1630.00
1974-11-01,1590.00
1974-12-01,1540.00
1975-01-01,1588.00
1975-02-01,1346.00
1975-03-01,1293.00
1975-04-01,1278.00
1975-05-01,1349.00
1975-06-01,1234.00
1975-07-01,1276.00
1975-08-01,1290.00
1975-09-01,1333.00
1975-10-01,1134.00
1975-11-01,1383.00
1975-12-01,1306.00
1976-01-01,1258.00
1976-02-01,1311.00
1976-03-01,1347.00
1976-04-01,1332.00
1976-05-01,1440.00
1976-06-01,1390.00
1976-07-01,1322.00
1976-08-01,1374.00
1976-09-01,1371.00
1976-10-01,1388.00
1976-11-01,1428.00
1976-12-01,1457.00
1977-01-01,1457.00
1977-02-01,1655.00
1977-03-01,1619.00
1977-04-01,1548.00
1977-05-01,1555.00
1977-06-01,1636.00
1977-07-01,1687.00
1977-08-01,1673.00
1977-09-01,1865.00
1977-10-01,1675.00
1977-11-01,1770.00
1977-12-01,1634.00
1978-01-01,1777.00
1978-02-01,1719.00
1978-03-01,1785.00
1978-04-01,1843.00
1978-05-01,1850.00
1978-06-01,1905.00
1978-07-01,1957.00
1978-08-01,1976.00
1978-09-01,1944.00
1978-10-01,1885.00
1978-11-01,1877.00
1978-12-01,1844.00
1979-01-01,1850.00
1979-02-01,1845.00
1979-03-01,1946.00
1979-04-01,1866.00
1979-05-01,2007.00
1979-06-01,1853.00
1979-07-01,1759.00
1979-08-01,1779.00
1979-09-01,1983.00
1979-10-01,1832.00
1979-11-01,1892.00
1979-12-01,1863.00
1980-01-01,1794.00
1980-02-01,1803.00
1980-03-01,1701.00
1980-04-01,1751.00
1980-05-01,1532.00
1980-06-01,1480.00
1980-07-01,1472.00
1980-08-01,1440.00
1980-09-01,1267.00
1980-10-01,1272.00
1980-11-01,1313.00
1980-12-01,1378.00
1981-01-01,1270.00
1981-02-01,1395.00
1981-03-01,1377.00
1981-04-01,1469.00
1981-05-01,1246.00
1981-06-01,1350.00
1981-07-01,1337.00
1981-08-01,1222.00
1981-09-01,1221.00
1981-10-01,1206.00
1981-11-01,1074.00
1981-12-01,1129.00
1982-01-01,1052.00
1982-02-01,935.00
1982-03-01,965.00
1982-04-01,979.00
1982-05-01,1060.00
1982-06-01,930.00
1982-07-01,1006.00
1982-08-01,985.00
1982-09-01,947.00
1982-10-01,1059.00
1982-11-01,1079.00
1982-12-01,1047.00
1983-01-01,1187.00
1983-02-01,1135.00
1983-03-01,1168.00
1983-04-01,1197.00
1983-05-01,1300.00
1983-06-01,1344.00
1983-07-01,1410.00
1983-08-01,1711.00
1983-09-01,1493.00
1983-10-01,1586.00
1983-11-01,1462.00
1983-12-01,1509.00
1984-01-01,1595.00
1984-02-01,1562.00
1984-03-01,1600.00
1984-04-01,1683.00
1984-05-01,1732.00
1984-06-01,1714.00
1984-07-01,1692.00
1984-08-01,1685.00
1984-09-01,1642.00
1984-10-01,1633.00
1984-11-01,1611.00
1984-12-01,1629.00
1985-01-01,1646.00
1985-02-01,1772.00
1985-03-01,1715.00
1985-04-01,1630.00
1985-05-01,1665.00
1985-06-01,1791.00
1985-07-01,1693.00
1985-08-01,1685.00
1985-09-01,1806.00
1985-10-01,1565.00
1985-11-01,1749.00
1985-12-01,1732.00
1986-01-01,1723.00
1986-02-01,1753.00
1986-03-01,1756.00
1986-04-01,1685.00
1986-05-01,1833.00
1986-06-01,1672.00
1986-07-01,1722.00
1986-08-01,1763.00
1986-09-01,1732.00
1986-10-01,1782.00
1986-11-01,1793.00
1986-12-01,1840.00
1987-01-01,1862.00
1987-02-01,1771.00
1987-03-01,1694.00
1987-04-01,1735.00
1987-05-01,1713.00
1987-06-01,1635.00
1987-07-01,1685.00
1987-08-01,1624.00
1987-09-01,1587.00
1987-10-01,1577.00
1987-11-01,1578.00
1987-12-01,1632.00
1988-01-01,1554.00
1988-02-01,1450.00
1988-03-01,1600.00
1988-04-01,1615.00
1988-05-01,1483.00
1988-06-01,1512.00
1988-07-01,1527.00
1988-08-01,1551.00
1988-09-01,1531.00
1988-10-01,1529.00
1988-11-01,1407.00
1988-12-01,1547.00
1989-01-01,1561.00
1989-02-01,1597.00
1989-03-01,1442.00
1989-04-01,1542.00
1989-05-01,1449.00
1989-06-01,1346.00
1989-07-01,1386.00
1989-08-01,1429.00
1989-09-01,1338.00
1989-10-01,1333.00
1989-11-01,1475.00
1989-12-01,1304.00
1990-01-01,1508.00
1990-02-01,1352.00
1990-03-01,1345.00
1990-04-01,1332.00
1990-05-01,1351.00
1990-06-01,1263.00
1990-07-01,1295.00
1990-08-01,1307.00
1990-09-01,1312.00
1990-10-01,1282.00
1990-11-01,1248.00
1990-12-01,1173.00
1991-01-01,1149.00
1991-02-01,1090.00
1991-03-01,1176.00
1991-04-01,1093.00
1991-05-01,1070.00
1991-06-01,1093.00
1991-07-01,1076.00
1991-08-01,1050.00
1991-09-01,1216.00
1991-10-01,1076.00
1991-11-01,1013.00
1991-12-01,1002.00
1992-01-01,1061.00
1992-02-01,1098.00
